"id","code","collector_number","name","set_id","set_name","type","rarity","domains","energy","power","might","tags","illustrator","ability_text","image_url"
"ogn-022-298","OGN-022/298","22","Thermo Beam","OGN","Origins","Spell","Uncommon","Fury","5","2","","","Max Grecke","[Action] (Play on your turn or in showdowns.) Kill all gear.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/88661e852b864491e6d7f5f087caf4263f61c361-744x1039.png?accountingTag=RB"
"ogn-023-298","OGN-023/298","23","Unlicensed Armory","OGN","Origins","Gear","Uncommon","Fury","2","","","","Kudos Productions","Discard 1, :rb_exhaust:: Choose a friendly unit. The next time it would die this turn, you may pay :rb_rune_fury: to heal it, exhaust it, and recall it instead. (Send it to base. This isn't a move.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1a80bedd893d9024fc90f108da36b4fd1d496ad6-744x1039.png?accountingTag=RB"
"ogn-024-298","OGN-024/298","24","Void Seeker","OGN","Origins","Spell","Uncommon","Fury","3","1","","","Kudos Productions","[Action] (Play on your turn or in showdowns.) Deal 4 to a unit at a battlefield. Draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5b64b63c6be58ff3c33c7fb3c2dcb168d64e287e-744x1039.png?accountingTag=RB"
"ogn-025-298","OGN-025/298","25","Blind Fury","OGN","Origins","Spell","Rare","Fury","4","2","","","Six More Vodka","[Action] (Play on your turn or in showdowns.) Each opponent reveals the top card of their Main Deck. Choose one and banish it, then play it, ignoring its cost. Then recycle the rest.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d74ba4998df9348408f1400090a0b0737c675fbd-744x1039.png?accountingTag=RB"
"ogn-026-298","OGN-026/298","26","Brynhir Thundersong","OGN","Origins","Unit","Rare","Fury","6","","5","","Envar Studio","When you play me, opponents can't play cards this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44e805aa0f2928acf1156eef692403df319b333a-744x1039.png?accountingTag=RB"
"ogn-027a-298","OGN-027a/298","27","Darius, Trifarian","OGN","Origins","Unit","Showcase","Fury","5","1","5","","League Splash Team","When you play your second card in a turn, give me +2 :rb_might: this turn and ready me.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/df878ecc25160bb7e53b254a609ec243e133e8f1-744x1039.png?accountingTag=RB"
"ogn-027-298","OGN-027/298","27","Darius, Trifarian","OGN","Origins","Unit","Rare","Fury","5","1","5","","League Splash Team","When you play your second card in a turn, give me +2 :rb_might: this turn and ready me.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bf7a4900fd2296972c1305a4707c23860bb0522e-744x1039.png?accountingTag=RB"
"ogn-028-298","OGN-028/298","28","Draven, Showboat","OGN","Origins","Unit","Rare","Fury","5","1","3","","Six More Vodka","My Might is increased by your points.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7600d6cea66e8146ea2202f72cb9035cb44608a3-744x1039.png?accountingTag=RB"
"ogn-029-298","OGN-029/298","29","Falling Star","OGN","Origins","Spell","Rare","Fury","2","2","","","Kudos Productions","Deal 3 to a unit. Deal 3 to a unit.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9cf2d2e59e1bf839cdf5c2a77e95f5d1e871788f-744x1039.png?accountingTag=RB"
"ogn-030a-298","OGN-030a/298","30","Jinx, Demolitionist","OGN","Origins","Unit","Showcase","Fury","3","1","4","","League Splash Team","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.) [Assault 2] (+2 :rb_might: while I'm an attacker.) When you play me, discard 2.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/60ff1aec7ecb1b11ff89fdb620c6182897a8b402-744x1039.png?accountingTag=RB"
"ogn-030-298","OGN-030/298","30","Jinx, Demolitionist","OGN","Origins","Unit","Rare","Fury","3","1","4","","Kudos Productions","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.) [Assault 2] (+2 :rb_might: while I'm an attacker.) When you play me, discard 2.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d6cac988aa7798945e550eba6841d3993868c4a4-744x1039.png?accountingTag=RB"
"ogn-031-298","OGN-031/298","31","Raging Firebrand","OGN","Origins","Unit","Rare","Fury","6","1","4","","JiHun Lee","When you play me, the next spell you play this turn costs :rb_energy_5: less.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9566fc064c098bd7f3540f3074dc6353c7ca5663-744x1039.png?accountingTag=RB"
"ogn-032-298","OGN-032/298","32","Ravenborn Tome","OGN","Origins","Gear","Rare","Fury","3","","","","Polar Engine Studio",":rb_exhaust:: The next spell you play this turn deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/81f968126026635e5b9a2fa1048fc979fcd13a1d-744x1039.png?accountingTag=RB"
"ogn-033-298","OGN-033/298","33","Shakedown","OGN","Origins","Spell","Rare","Fury","2","1","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) Choose an enemy unit. Deal 6 to it unless its controller has you draw 2.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ab71d92c94bf609e2fa6efc8fec06fe1e8b10108-744x1039.png?accountingTag=RB"
"ogn-034-298","OGN-034/298","34","Tryndamere, Barbarian","OGN","Origins","Unit","Rare","Fury","7","2","8","","Six More Vodka","When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/124c93495c927be1baea03fdacf6c7b283cf8b6c-744x1039.png?accountingTag=RB"
"ogn-035-298","OGN-035/298","35","Vayne, Hunter","OGN","Origins","Unit","Rare","Fury","4","1","2","","Kudos Productions","[Assault 3] (+3 :rb_might: while I'm an attacker.) If an opponent controls a battlefield, I enter ready. When I conquer, you may pay :rb_energy_1: to return me to my owner's hand.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b38a22e6f4bfaa8589f32754a7466fe5214e81b5-744x1039.png?accountingTag=RB"
"ogn-036-298","OGN-036/298","36","Vi, Destructive","OGN","Origins","Unit","Rare","Fury","2","1","3","","Kudos Productions","[Ganking] (I can move from battlefield to battlefield.) Recycle 1 from your trash: Give me +1 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7ab52254ac49b8853fc7ae65b03aaee3f8c5994a-744x1039.png?accountingTag=RB"
"ogn-037-298","OGN-037/298","37","Immortal Phoenix","OGN","Origins","Unit","Epic","Fury","3","1","3","","Kudos Productions","[Assault 2] (+2 :rb_might: while I'm an attacker.) When you kill a unit with a spell, you may pay :rb_energy_1::rb_rune_fury: to play me from your trash.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7b623ae985bf5f362b6d8d4a17e9b8146aeae3c3-744x1039.png?accountingTag=RB"
"ogn-038-298","OGN-038/298","38","Kadregrin the Infernal","OGN","Origins","Unit","Epic","Fury","9","2","9","","Six More Vodka","When you play me, draw 1 for each of your [Mighty] units. (A unit is Mighty while it has 5+ :rb_might:.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/733c32b1fccc7e2983cbb3586358152f90a6df04-744x1039.png?accountingTag=RB"
"ogn-039a-298","OGN-039a/298","39","Kai'Sa, Survivor","OGN","Origins","Unit","Showcase","Fury","4","","4","","Envar Studio","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.) When I conquer, draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ad69bde670ce218adee1d2a618a7295d2fb7bd4c-744x1039.png?accountingTag=RB"
"ogn-039-298","OGN-039/298","39","Kai'Sa, Survivor","OGN","Origins","Unit","Epic","Fury","4","","4","","League Splash Team","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.) When I conquer, draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3d942c02ad4e96a36dba14d663c5105bb6614500-744x1039.png?accountingTag=RB"
"ogn-040-298","OGN-040/298","40","Seal of Rage","OGN","Origins","Gear","Epic","Fury","0","1","","","Kudos Productions",":rb_exhaust:: [Reaction] — [Add] :rb_rune_fury:. (Abilities that add resources can't be reacted to.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fbdd14adb40b0ca46b89f476a356fa21413d812e-744x1039.png?accountingTag=RB"
"ogn-041-298","OGN-041/298","41","Volibear, Furious","OGN","Origins","Unit","Epic","Fury","10","2","9","","Envar Studio","[Deflect 2] (Opponents must pay :rb_rune_rainbow::rb_rune_rainbow: to choose me with a spell or ability.) When I attack, deal 5 damage split among any number of enemy units here.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c9165d49b8caae9a856433cd5151e8b368eb80b5-744x1039.png?accountingTag=RB"
"ogn-041a-298","OGN-041a/298","41","Volibear, Furious","OGN","Origins","Unit","Showcase","Fury","10","2","9","","League Splash Team","[Deflect 2] (Opponents must pay :rb_rune_rainbow::rb_rune_rainbow: to choose me with a spell or ability.) When I attack, deal 5 damage split among any number of enemy units here.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/744d1b950ae7ef1e6e5b244538a6afb9802e5e3d-744x1039.png?accountingTag=RB"
"ogn-042a-298","OGN-042a/298","42","Calm Rune","OGN","Origins","Rune","Showcase","Calm","","","","","Zhongqi Li","","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/88187b586b9b3cc2f48fd20c806dd5fc5e1bfc71-1488x2078.png?accountingTag=RB"
"ogn-042-298","OGN-042/298","42","Calm Rune","OGN","Origins","Rune","Common","Calm","","","","","Greg Ghielmetti & Leah Chen","","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0a0e8c3d16c2595e2f8efcc2b1466226539b506c-744x1039.png?accountingTag=RB"
"ogn-043-298","OGN-043/298","43","Charm","OGN","Origins","Spell","Common","Calm","1","1","","","Kudos Productions","Move an enemy unit.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/62ae564505db8fcba70605eac2083ac2d4397b5a-744x1039.png?accountingTag=RB"
"ogn-044-298","OGN-044/298","44","Clockwork Keeper","OGN","Origins","Unit","Common","Calm","2","","2","","Polar Engine Studio","You may pay :rb_rune_calm: as an additional cost to play me. When you play me, if you paid the additional cost, draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/417e606418349bb25d4b07d460fa043ad85f2778-744x1039.png?accountingTag=RB"
"ogn-045-298","OGN-045/298","45","Defy","OGN","Origins","Spell","Common","Calm","1","1","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) Counter a spell that costs no more than :rb_energy_4: and no more than :rb_rune_rainbow:.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4989bfcc4bd7be77051f0c2c349a981ba9c273e0-744x1039.png?accountingTag=RB"
"ogn-046-298","OGN-046/298","46","En Garde","OGN","Origins","Spell","Common","Calm","1","","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) Give a friendly unit +1 :rb_might: this turn, then an additional +1 :rb_might: this turn if it is the only unit you control there.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/03c0ec7eaa5957a62869dad2a0ce40913fc874a9-744x1039.png?accountingTag=RB"
"ogn-047-298","OGN-047/298","47","Find Your Center","OGN","Origins","Spell","Common","Calm","3","","","","Kudos Productions","[Action] (Play on your turn or in showdowns.) If an opponent's score is within 3 points of the Victory Score, this costs :rb_energy_2: less. Draw 1 and channel 1 rune exhausted.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cd9d798b496fdce133c5b0106d636a230b6e7ebe-744x1039.png?accountingTag=RB"
"ogn-048-298","OGN-048/298","48","Meditation","OGN","Origins","Spell","Common","Calm","2","","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) As an additional cost to play this, you may exhaust a friendly unit. If you do, draw 2. Otherwise, draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7103336ab0d7f7bebdaa4155e4258d8d9beb06de-744x1039.png?accountingTag=RB"
"ogn-049-298","OGN-049/298","49","Playful Phantom","OGN","Origins","Unit","Common","Calm","5","","5","","Six More Vodka","","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3171ef8c7968b0dfe088725b9721b19d175bdb1e-744x1039.png?accountingTag=RB"
"ogn-050-298","OGN-050/298","50","Rune Prison","OGN","Origins","Spell","Common","Calm","2","1","","","Kudos Productions","[Action] (Play on your turn or in showdowns.) Stun a unit. (It doesn't deal combat damage this turn.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/21867baeaced3c22cda5f40f6b6c9a8dad4b7042-744x1039.png?accountingTag=RB"
"ogn-051-298","OGN-051/298","51","Solari Shieldbearer","OGN","Origins","Unit","Common","Calm","3","","2","","Kudos Productions","When you play me, stun a unit. (It doesn't deal combat damage this turn.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9387ea6480c9fd6991760b07a178c07a5fcf1c57-744x1039.png?accountingTag=RB"
"ogn-052-298","OGN-052/298","52","Stalwart Poro","OGN","Origins","Unit","Common","Calm","2","","2","","Six More Vodka","[Shield] (+1 :rb_might: while I'm a defender.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c4a5d7178e783c3975749271b6df333a82a2328a-744x1039.png?accountingTag=RB"
"ogn-053-298","OGN-053/298","53","Stand United","OGN","Origins","Spell","Common","Calm","3","","","","Six More Vodka","[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.) [Action] (Play on your turn or in showdowns.) Buff a friendly unit. Buffs give an additional +1 :rb_might: to friendly units this turn. (To buff a unit, give it a +1 :rb_might: buff if it doesn't already have one.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4d10570e70a998de520d4baba254c3b726caa4f0-744x1039.png?accountingTag=RB"
"ogn-054-298","OGN-054/298","54","Sunlit Guardian","OGN","Origins","Unit","Common","Calm","3","","3","","Kudos Productions","[Shield] (+1 :rb_might: while I'm a defender.) [Tank] (I must be assigned combat damage first.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/28bce7a662b9008f65565300f828d98790a641e1-744x1039.png?accountingTag=RB"
"ogn-055-298","OGN-055/298","55","Wielder of Water","OGN","Origins","Unit","Common","Calm","3","","2","","Six More Vodka","While I'm attacking or defending alone, I have +2 :rb_might:.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5b38a7758705bd739caf07b5c0c49482a4a23015-744x1039.png?accountingTag=RB"
"ogn-056-298","OGN-056/298","56","Adaptatron","OGN","Origins","Unit","Uncommon","Calm","4","","3","","Kudos Productions","When I conquer, you may kill a gear. If you do, buff me. (If I don't have a buff, I get a +1 :rb_might: buff.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a3ddb00a2a872eaceb96469739531414aa27455d-744x1039.png?accountingTag=RB"
"ogn-057-298","OGN-057/298","57","Block","OGN","Origins","Spell","Uncommon","Calm","2","","","","Kudos Productions","[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.) [Action] (Play on your turn or in showdowns.) Give a unit [Shield 3] and [Tank] this turn. (+3 :rb_might: while it's a defender. It must be assigned combat damage first.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/36f7352e715fe073631ed85be41408c9a38ab865-744x1039.png?accountingTag=RB"
"ogn-058-298","OGN-058/298","58","Discipline","OGN","Origins","Spell","Uncommon","Calm","2","","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) Give a unit +2 :rb_might: this turn. Draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8b9613970b505e3ad6abe2d51d091778314a7d48-744x1039.png?accountingTag=RB"
"ogn-059-298","OGN-059/298","59","Eclipse Herald","OGN","Origins","Unit","Uncommon","Calm","7","1","7","","Kudos Productions","When you stun an enemy unit, ready me and give me +1 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bbe4fec278b8960681f97da658dc2f06ee46c4bd-744x1039.png?accountingTag=RB"
"ogn-060-298","OGN-060/298","60","Mask of Foresight","OGN","Origins","Gear","Uncommon","Calm","2","","","","Kudos Productions","When a friendly unit attacks or defends alone, give it +1 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/03824709acbb4151d13b083a842c4702a3e61221-744x1039.png?accountingTag=RB"
"ogn-061-298","OGN-061/298","61","Poro Herder","OGN","Origins","Unit","Uncommon","Calm","3","1","3","","Six More Vodka","When you play me, if you control a Poro, buff me and draw 1. (If I don't have a buff, I get a +1 :rb_might: buff.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/166b718a8517fcceac7e7d4f6acbc4fa0bbc2c55-744x1039.png?accountingTag=RB"
"ogn-062-298","OGN-062/298","62","Reinforce","OGN","Origins","Spell","Uncommon","Calm","5","","","","Kudos Productions","Look at the top 5 cards of your Main Deck. You may banish a unit from among them, then play it, reducing its cost by :rb_energy_5:. Recycle the remaining cards.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5bb4ce960c7636dac103c560a2e2f4e32f9d5390-744x1039.png?accountingTag=RB"
"ogn-063-298","OGN-063/298","63","Spirit's Refuge","OGN","Origins","Gear","Uncommon","Calm","2","1","","","Kudos Productions","When you play this, buff a friendly unit. (If it doesn't have a buff, it gets a +1 :rb_might: buff.) Friendly buffed units have [Deflect] if they didn't already. (Opponents must pay :rb_rune_rainbow: to choose those units with a spell or ability.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/26d5e54580d1f17ed6c35a66ac6a90ce56c99ec8-744x1039.png?accountingTag=RB"
"ogn-064-298","OGN-064/298","64","Wind Wall","OGN","Origins","Spell","Uncommon","Calm","3","2","","","Max Grecke","[Reaction] (Play any time, even before spells and abilities resolve.) Counter a spell.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/72c4dbe48d06916c847dab40340e5f05228fadfe-744x1039.png?accountingTag=RB"
"ogn-065-298","OGN-065/298","65","Wizened Elder","OGN","Origins","Unit","Uncommon","Calm","4","","4","","Six More Vodka","While I'm buffed, I have an additional +1 :rb_might:.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7b98797789ad7e3a6cf52126b82a42ec6f269bb7-744x1039.png?accountingTag=RB"
"ogn-066a-298","OGN-066a/298","66","Ahri, Alluring","OGN","Origins","Unit","Showcase","Calm","5","1","4","","Wild Rift","When I hold, you score 1 point.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/933f5d58cc0e27d017982306b9ae0f581c9c8d27-744x1039.png?accountingTag=RB"
"ogn-066-298","OGN-066/298","66","Ahri, Alluring","OGN","Origins","Unit","Rare","Calm","5","1","4","","League Splash Team","When I hold, you score 1 point.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fabbcc2f83f397cf07299236a702db05a151053b-744x1039.png?accountingTag=RB"
"ogn-067-298","OGN-067/298","67","Blitzcrank, Impassive","OGN","Origins","Unit","Rare","Calm","5","1","5","","League Splash Team","[Tank] (I must be assigned combat damage first.) When you play me to a battlefield, you may move an enemy unit to here. When I hold, return me to my owner's hand.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/654dcc4aef0a0b5a0c6e928d7aae397a52c3ab17-744x1039.png?accountingTag=RB"
