"id","code","collector_number","name","set_id","set_name","type","rarity","domains","energy","power","might","tags","illustrator","ability_text","image_url"
"sfd-018-221","SFD-018/221","18","Void Hatchling","SFD","Spiritforged","Unit","Uncommon","Fury","2","","2","","Kudos Productions","If you would reveal cards from a deck, look at the top card first. You may recycle it. Then reveal those cards.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a909782d0a30f31f9414c99ba143fa570a3cb456-744x1039.png?accountingTag=RB"
"sfd-019-221","SFD-019/221","19","Assembly Rig","SFD","Spiritforged","Gear","Rare","Fury","4","","","","Six More Vodka",":rb_energy_1::rb_rune_fury:, Recycle a unit from your trash, :rb_exhaust:: Play a 3 :rb_might: Mech unit token to your base.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/40ae6f61f1a0b5d65d91e3bb3fd2a0dad9148208-744x1039.png?accountingTag=RB"
"sfd-020-221","SFD-020/221","20","Draven, Vanquisher","SFD","Spiritforged","Unit","Rare","Fury","4","","4","","League Splash Team","When I win a combat, play a Gold gear token exhausted. When I attack or defend, you may pay :rb_rune_fury:. If you do, give me +2 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8e49e0b83df68f37a15bf704b83475144fd9ef92-744x1039.png?accountingTag=RB"
"sfd-020a-221","SFD-020a/221","20","Draven, Vanquisher","SFD","Spiritforged","Unit","Showcase","Fury","4","","4","","League Splash Team","When I win a combat, play a Gold gear token exhausted. When I attack or defend, you may pay :rb_rune_fury:. If you do, give me +2 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9019c449004f246de6607bf1829f4f3cabcda200-744x1039.png?accountingTag=RB"
"sfd-021-221","SFD-021/221","21","Ferrous Forerunner","SFD","Spiritforged","Unit","Rare","Fury","6","1","6","","Envar Studio","[Deathknell] — Play two 3 :rb_might: Mech unit tokens to your base. (When I die, get the effect.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b2873a352c0158a677255894cec458d1c17709f7-744x1039.png?accountingTag=RB"
"sfd-022-221","SFD-022/221","22","Long Sword","SFD","Spiritforged","Gear","Rare","Fury","2","1","","","黯荧岛Dark Glow","[Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.) [Equip] :rb_rune_fury: (:rb_rune_fury:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/48d798bf93afd1ef139dcafc6cd8705742b93169-744x1039.png?accountingTag=RB"
"sfd-023-221","SFD-023/221","23","Piercing Light","SFD","Spiritforged","Spell","Rare","Fury","2","1","","","Kudos Productions","[Repeat] :rb_energy_2::rb_rune_fury: (You may pay the additional cost to repeat this spell's effect.) Deal 2 to a unit at a battlefield, then deal 2 to up to one other unit.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7fb3283b11fb8e5b5b08f9ead9b98c695b75bff0-744x1039.png?accountingTag=RB"
"sfd-024-221","SFD-024/221","24","Rell, Magnetic","SFD","Spiritforged","Unit","Rare","Fury","4","","4","","League Splash Team","[Tank] (I must be assigned combat damage first.) When I attack, you may play an Equipment with Energy cost no more than :rb_energy_2:, ignoring its cost. If you do, then do this: Attach it to me.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8aa1a9cf0a91a9ab601d5e5d42a438d4217eddd7-744x1039.png?accountingTag=RB"
"sfd-025-221","SFD-025/221","25","Rengar, Pouncing","SFD","Spiritforged","Unit","Rare","Fury","3","1","3","","League Splash Team","[Reaction] (Play any time, even before spells and abilities resolve, including to a battlefield you control.) [Assault 2] (+2 :rb_might: while I'm an attacker.) I can be played to a battlefield you're attacking.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e24eb3fb835c4762479da5608b018785ef22e02c-744x1039.png?accountingTag=RB"
"sfd-026-221","SFD-026/221","26","Rumble, Hotheaded","SFD","Spiritforged","Unit","Rare","Fury","4","","4","","Six More Vodka","Your Mechs each have [Assault]. (+1 :rb_might: while we're attackers.) When I conquer, you may recycle another friendly unit to play a Mech from your trash. Reduce its Energy cost by the Might of the unit you recycled.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e211311ecb1475e87d3d94eba4a6774b4e900091-744x1039.png?accountingTag=RB"
"sfd-026a-221","SFD-026a/221","26","Rumble, Hotheaded","SFD","Spiritforged","Unit","Showcase","Fury","4","","4","","League Splash Team","Your Mechs each have [Assault]. (+1 :rb_might: while we're attackers.) When I conquer, you may recycle another friendly unit to play a Mech from your trash. Reduce its Energy cost by the Might of the unit you recycled.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/dfeef09dacae683e39013902d77b3398fdcd5db8-744x1039.png?accountingTag=RB"
"sfd-027-221","SFD-027/221","27","Dunebreaker","SFD","Spiritforged","Unit","Epic","Fury","7","1","7","","Wild Blue Studios","If you have two or fewer cards in your hand, I enter ready. When I hold, draw 2.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fa17369233dfc68e011d16b7b98971a6f8743c3e-744x1039.png?accountingTag=RB"
"sfd-028a-221","SFD-028a/221","28","Lucian, Gunslinger","SFD","Spiritforged","Unit","Showcase","Fury","3","","2","","Kudos Productions","[Assault] (+1 :rb_might: while I'm an attacker.) When I attack, deal damage equal to my [Assault] to an enemy unit here.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3982de5a4aee53471ca589179f5cf8617169fb52-744x1039.png?accountingTag=RB"
"sfd-028-221","SFD-028/221","28","Lucian, Gunslinger","SFD","Spiritforged","Unit","Epic","Fury","3","","2","","Six More Vodka","[Assault] (+1 :rb_might: while I'm an attacker.) When I attack, deal damage equal to my [Assault] to an enemy unit here.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2dfb106d7c85235436d25261195a638e2ab15092-744x1039.png?accountingTag=RB"
"sfd-029-221","SFD-029/221","29","Rek'Sai, Breacher","SFD","Spiritforged","Unit","Epic","Fury","3","","3","","Six More Vodka","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.) [Assault] (+1 :rb_might: while I'm an attacker.) Friendly units played from anywhere other than a player's hand have [Accelerate].","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/999e2d25ea32da971e7b99b6e75558286c17949e-744x1039.png?accountingTag=RB"
"sfd-029a-221","SFD-029a/221","29","Rek'Sai, Breacher","SFD","Spiritforged","Unit","Showcase","Fury","3","","3","","League Splash Team","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.) [Assault] (+1 :rb_might: while I'm an attacker.) Friendly units played from anywhere other than a player's hand have [Accelerate].","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8ef898e761ab44c43cb1cba11109a02d9cb5ce10-744x1039.png?accountingTag=RB"
"sfd-030-221","SFD-030/221","30","Skyfall of Areion","SFD","Spiritforged","Gear","Epic","Fury","3","","","","黯荧岛Dark Glow","[Equip] :rb_energy_1::rb_rune_fury: (:rb_energy_1::rb_rune_fury:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bea8390beb651502413cf644319c8ca6a8db1102-744x1039.png?accountingTag=RB"
"sfd-031-221","SFD-031/221","31","Desert's Call","SFD","Spiritforged","Spell","Common","Calm","2","","","","Kudos Productions","[Repeat] :rb_energy_2: (You may pay the additional cost to repeat this spell's effect.) Play a 2 :rb_might: Sand Soldier unit token.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b38ab6c02238b5a8e456cdad9b5108bb30e718bc-744x1039.png?accountingTag=RB"
"sfd-032-221","SFD-032/221","32","Disarming Rake","SFD","Spiritforged","Unit","Common","Calm","3","1","2","","Six More Vodka","When you play me, you may kill a gear.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/523732db17d8cf3c7c55f57c5dfb397b73e2b116-744x1039.png?accountingTag=RB"
"sfd-033-221","SFD-033/221","33","Doran's Shield","SFD","Spiritforged","Gear","Common","Calm","1","","","","黯荧岛Dark Glow","[Equip] :rb_rune_calm: (:rb_rune_calm:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/49a24d4c6d770ed233c4a69bf8d87385bfc997d8-744x1039.png?accountingTag=RB"
"sfd-034-221","SFD-034/221","34","Feral Strength","SFD","Spiritforged","Spell","Common","Calm","2","","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) [Repeat] :rb_energy_2: (You may pay the additional cost to repeat this spell's effect.) Give a unit +2 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f07842b38914f6bc73235fe07788a3fce89b4785-744x1039.png?accountingTag=RB"
"sfd-035-221","SFD-035/221","35","Guardian of the Passage","SFD","Spiritforged","Unit","Common","Calm","6","","6","","JiHun Lee","When I hold, you may return a unit or gear from your trash to your hand.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f6b932aa510c92d014422d31e27b1505e54abe20-744x1039.png?accountingTag=RB"
"sfd-036-221","SFD-036/221","36","Lonely Poro","SFD","Spiritforged","Unit","Common","Calm","2","","2","","Six More Vodka","[Deathknell] — If I died alone, draw 1. (When I die, get the effect. I'm alone if there are no other friendly units here.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f5ab933035b7a6d6bb1d35c10c13f58c7fbf3398-744x1039.png?accountingTag=RB"
"sfd-037-221","SFD-037/221","37","Navori Scout","SFD","Spiritforged","Unit","Common","Calm","4","","4","","Six More Vodka","[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/038625518f5b46f5217d300d9dc9fbf507c4ae09-744x1039.png?accountingTag=RB"
"sfd-038-221","SFD-038/221","38","Ribbon Dancer","SFD","Spiritforged","Unit","Common","Calm","3","","3","","Six More Vodka","When I move to a battlefield, give another friendly unit +1 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/92550ab70647046115133c7547423bcf308906f6-744x1039.png?accountingTag=RB"
"sfd-039-221","SFD-039/221","39","Royal Entourage","SFD","Spiritforged","Unit","Common","Calm","3","1","4","","Kudos Productions","When you play me, ready or exhaust a legend.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a6f3ce580860fe80fdf1b41533ba89b5060e946a-744x1039.png?accountingTag=RB"
"sfd-040-221","SFD-040/221","40","Thwonk!","SFD","Spiritforged","Spell","Common","Calm","2","","","","Kudos Productions","[Action] (Play on your turn or in showdowns.) [Repeat] :rb_energy_2: (You may pay the additional cost to repeat this spell's effect.) Stun an attacking unit. (It doesn't deal combat damage this turn.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c414fdba5e47db294b8364a07f1258bc3e204c51-744x1039.png?accountingTag=RB"
"sfd-041-221","SFD-041/221","41","Apprentice Smith","SFD","Spiritforged","Unit","Uncommon","Calm","2","","2","","Kudos Productions","When I move, reveal the top card of your Main Deck. If it's a gear, draw it. Otherwise, recycle it.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3998c6171ddc7a021560d9d9600c8eced9a8d628-744x1039.png?accountingTag=RB"
"sfd-042-221","SFD-042/221","42","Brutalizer","SFD","Spiritforged","Gear","Uncommon","Calm","2","","","","黯荧岛Dark Glow","[Equip] :rb_rune_calm: (:rb_rune_calm:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3a0de7eec3de501f79f33c09b43c7fe42721d10d-744x1039.png?accountingTag=RB"
"sfd-043-221","SFD-043/221","43","Emperor's Divide","SFD","Spiritforged","Spell","Uncommon","Calm","2","","","","Kudos Productions","[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.) [Action] (Play on your turn or in showdowns.) Move any number of friendly units at a battlefield to their base.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/80f367f06549d597c7b5a77be73eb647eab34f59-744x1039.png?accountingTag=RB"
"sfd-044-221","SFD-044/221","44","Legion Quartermaster","SFD","Spiritforged","Unit","Uncommon","Calm","3","","4","","Kudos Productions","As an additional cost to play me, return a friendly gear to its owner's hand.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c09cc35ffc98b46f919c09e09a93b603d63eb73e-744x1039.png?accountingTag=RB"
"sfd-045-221","SFD-045/221","45","Not So Fast","SFD","Spiritforged","Spell","Uncommon","Calm","2","1","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) Counter an enemy spell or ability that chooses a friendly unit or gear.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e576fefdce72ad862a7e374bf8c0fd509f359da9-744x1039.png?accountingTag=RB"
"sfd-046-221","SFD-046/221","46","Poro Snax","SFD","Spiritforged","Gear","Uncommon","Calm","1","1","","","Six More Vodka","When you play this, draw 1. :rb_energy_1::rb_rune_calm:, :rb_exhaust:, Kill this: Draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8caaa64513b5ba57d676c7b2b9ee64af61711539-744x1039.png?accountingTag=RB"
"sfd-047-221","SFD-047/221","47","Simian Ancestor","SFD","Spiritforged","Unit","Uncommon","Calm","5","1","5","","Kudos Productions","When you buff me, ready me.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/901a77a01e869f1f38f7a0b1ba5ae28f06b54a08-744x1039.png?accountingTag=RB"
"sfd-048-221","SFD-048/221","48","Stellacorn Herder","SFD","Spiritforged","Unit","Uncommon","Calm","4","","3","","Six More Vodka","When I move, draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1e7960a35d45dd55e934260ea23307853aa5afd4-744x1039.png?accountingTag=RB"
"sfd-049-221","SFD-049/221","49","Aphelios, Exalted","SFD","Spiritforged","Unit","Rare","Calm","4","1","4","","Six More Vodka","When you attach an Equipment to me, choose one that hasn't been chosen this turn — Ready 2 runes.Channel 1 rune exhausted.Buff a friendly unit.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/df9ccbba2501059e5781a44434745a1f0e33ecae-744x1039.png?accountingTag=RB"
"sfd-050a-221","SFD-050a/221","50","Azir, Ascendant","SFD","Spiritforged","Unit","Showcase","Calm","6","1","6","","League Splash Team",":rb_rune_calm:: [Action] — Choose a unit you control. Move me to its location and it to my original location. If it's equipped, you may attach one of its Equipment to me. Use only once per turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3a0859ca50e71c69b22e4dab93e840b6d30e3d50-744x1039.png?accountingTag=RB"
"sfd-050-221","SFD-050/221","50","Azir, Ascendant","SFD","Spiritforged","Unit","Rare","Calm","6","1","6","","Six More Vodka",":rb_rune_calm:: [Action] — Choose a unit you control. Move me to its location and it to my original location. If it's equipped, you may attach one of its Equipment to me. Use only once per turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3c42c02f6ebd2e4d4a640c2c6ac081231439888e-744x1039.png?accountingTag=RB"
"sfd-051-221","SFD-051/221","51","Guardian Angel","SFD","Spiritforged","Gear","Rare","Calm","2","","","","黯荧岛Dark Glow","[Equip] :rb_rune_calm: (:rb_rune_calm:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d09a797345659a1853d6d12910cf3c634990ea0c-744x1039.png?accountingTag=RB"
"sfd-052-221","SFD-052/221","52","Heart of Dark Ice","SFD","Spiritforged","Gear","Rare","Calm","3","1","","","Kudos Productions",":rb_exhaust:: Give a unit +3 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/73d8251c3bd8f7cd77010e9628515cd7fa462386-744x1039.png?accountingTag=RB"
"sfd-053-221","SFD-053/221","53","Janna, Savior","SFD","Spiritforged","Unit","Rare","Calm","3","1","3","","Envar Studio","[Reaction] (Play any time, even before spells and abilities resolve, including to a battlefield you control.) When you play me, heal your units here, then move up to one enemy unit from here to its base.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/191f04059bbfd69dfe63d36010586597bb3549b2-744x1039.png?accountingTag=RB"
"sfd-054-221","SFD-054/221","54","Jax, Unmatched","SFD","Spiritforged","Unit","Rare","Calm","5","1","5","","Envar Studio","[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.) Your Equipment everywhere have [Quick-Draw]. (Each gains [Reaction]. When you play it, attach it to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3d425589c74dbff818fa09db134fdd8bb7136420-744x1039.png?accountingTag=RB"
"sfd-054a-221","SFD-054a/221","54","Jax, Unmatched","SFD","Spiritforged","Unit","Showcase","Calm","5","1","5","","League Splash Team","[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.) Your Equipment everywhere have [Quick-Draw]. (Each gains [Reaction]. When you play it, attach it to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1d2eae793e415c5f53d7b11c335b5f0ed08c2086-744x1039.png?accountingTag=RB"
"sfd-055-221","SFD-055/221","55","Needlessly Large Yordle","SFD","Spiritforged","Unit","Rare","Calm","10","3","5","","Kudos Productions","[Shield 5] (+5 :rb_might: while I'm a defender.) [Tank] (I must be assigned combat damage first.) I cost :rb_energy_2::rb_rune_calm: less for each point you scored from holding this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/952dcaf9fd4b5f3e8592d140c11d792175597da1-744x1039.png?accountingTag=RB"
"sfd-056-221","SFD-056/221","56","Sterak's Gage","SFD","Spiritforged","Gear","Rare","Calm","3","2","","","黯荧岛Dark Glow","[Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.) [Equip] :rb_rune_calm: (:rb_rune_calm:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/df16e6b668fc6771ff657512deba1bf48363e23a-744x1039.png?accountingTag=RB"
"sfd-057-221","SFD-057/221","57","Irelia, Fervent","SFD","Spiritforged","Unit","Epic","Calm","5","","4","","Six More Vodka","[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.) When you choose or ready me, give me +1 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fe05fa55781f8036f8bfc9c10bba94326a0c8cc9-744x1039.png?accountingTag=RB"
"sfd-057a-221","SFD-057a/221","57","Irelia, Fervent","SFD","Spiritforged","Unit","Showcase","Calm","5","","4","","League Splash Team","[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.) When you choose or ready me, give me +1 :rb_might: this turn.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cef4f73541e0623b4024b483d141d0396f1dddcb-744x1039.png?accountingTag=RB"
"sfd-058a-221","SFD-058a/221","58","Ornn, Blacksmith","SFD","Spiritforged","Unit","Showcase","Calm","5","1","5","","League Splash Team","When you play me or when I hold, look at the top 4 cards of your Main Deck. You may reveal a gear from among them and draw it. Then recycle the rest.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e0621bba6475425d93191677b2b120c07a8efe20-744x1039.png?accountingTag=RB"
"sfd-058-221","SFD-058/221","58","Ornn, Blacksmith","SFD","Spiritforged","Unit","Epic","Calm","5","1","5","","Kudos Productions","When you play me or when I hold, look at the top 4 cards of your Main Deck. You may reveal a gear from among them and draw it. Then recycle the rest.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/77b48a28f48f26714f4bcf860379945a2d7186aa-744x1039.png?accountingTag=RB"
"sfd-059-221","SFD-059/221","59","Svellsongur","SFD","Spiritforged","Gear","Epic","Calm","3","1","","","Envar Studio","[Equip] :rb_energy_1::rb_rune_calm: (:rb_energy_1::rb_rune_calm:: Attach this to a unit you control.) As this is attached to a unit, copy that unit's text to this Equipment's effect text for as long as this is attached to it.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bc254398dfb5db217327b56862011a2fd6020789-744x1039.png?accountingTag=RB"
"sfd-060-221","SFD-060/221","60","Tianna Crownguard","SFD","Spiritforged","Unit","Epic","Calm","7","2","4","","Six More Vodka","[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.) While I'm at a battlefield, opponents can't gain points.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2a1876aeedae7310409d0eaaf453507188b0c82b-744x1039.png?accountingTag=RB"
